id	entity_name	domain_id
1563	Антагонистические игры	11
1564	Теоремы о двойственности	11
1566	Бескоалиционные неантагонистические игры	11
1567	Принципы оптимальности в неантагонистических играх	11
1568	Равновесие по Штакельбергу в неантагонистических играх	11
1569	Теорема о борьбе за лидерство	11
1570	Равновесие в совместных смешанных стратегиях	11
1571	Теорема о связи с ситуациями равновесия в смешанных стратегиях	11
1572	Экстенсивная форма	11
1573	Оптимальность по подыграм	11
1574	Повторяющиеся игры	11
1575	Способы вычисления выигрышей	11
1576	Фольклорная теорема	11
1577	Матричные игры	11
1578	Биматричные игры	11
1579	Кооперативные игры	11
1580	Позиционные игры	11
1581	Правила определения победителя при голосовании	11
1582	Теорема Эрроу	11
1583	Перекрёстная энтропия	14
1586	Нейронные сети для обработки последовательностей	14
1587	Современные архитектуры рекуррентных сетей	14
1588	Инструментарий анализа текстовых данных	17
1589	Словари и корпуса текстов	17
1590	Морфологический анализа текста	17
1593	Подходы к анализу текстовых данных	14
1594	Методы криптографии	180
1595	Цели и принципы защиты информации	180
1596	Опасности и угрозы в области информационной безопасности	180
1597	Классификация средств защиты информации	180
1598	Криптографическая защита информации	180
1599	Классификация шифров по различным признакам	17
1600	Системы шифрования с открытыми ключами	17
1601	Цифровые подписи	17
1602	Протоколы распределения ключей	17
1603	Надежность шифров	17
1604	Блочные системы шифрования	17
1605	Поточные системы шифрования	17
1606	Идентификация	17
1607	Криптографические хэш-функции	180
1609	Автоматическое определение структуры текста	17
1610	Анализ структурированных текстовых документов	17
1611	Анализ неструктурированных текстовых документов	17
1612	Компьютерный анализ текста	17
1613	Корпуса текстов	17
1614	Национальный корпус русского языка (НКРЯ)	26
1618	Модель TF*IDF	17
1620	Контент-анализ	17
1621	Критерии оценки результатов автоматического анализа текста	17
1623	Формальная грамматика	17
1628	Регулярные выражения	17
1631	Рекурсивный спуск	17
1632	Нисходящая трансляция	17
